,,15s,,,,,,,,,,,,,,,,
Fwd/Bck,right/left,right wheel,left wheel,,,,,,,,,,,,,,,
4.5,7,-21,0.2,-84,0.8,,,,,,,,,,,,,
4.5,7,-21,0.1,-84,0.4,,,,,,,,,,,,,
4.5,7,-20.5,0.1,-82,0.4,,,,,,,,,,,,,
5,7,-18.5,1.3,-74,5.2,,,,,,,,,,,,,
5,7,-18.8,1.4,-75.2,5.6,,,,,,,,,,,,,
5,7,-19.25,1.5,-77,6,,,,,,,,,,,,,
5.5,7,-12,6.9,-48,27.6,,,,,,,,,,,,,
5.5,7,-12,7.1,-48,28.4,,,,,,,,,,,,,
5.5,7,-11.75,6.75,-47,27,,,,,,,,,,,,,
6,7,-8.33,10.3,-33.32,41.2,,,,,,,,,,,,,
6,7,-8.33,10.4,-33.32,41.6,,,,,,,,,,,,,
6,7,-8.33,10.3,-33.32,41.2,,,,,,,,,,,,,
6.5,7,0,17.8,0,71.2,,,,,,,,,,,,,
6.5,7,0,18,0,72,,,,,,,,,,,,,
6.5,7,0,17.6,0,70.4,,,,,,,,,,,,,
7,7,5.5,28,22,112,,,,,,,,,,,,,
7,7,6,26.2,24,104.8,,,,,,,,,,,,,
7,7,6.5,27.5,26,110,,,,,,,,,,,,,
7.5,7,6.5,27.3,26,109.2,,,,,,,,,,,,,
7.5,7,6.33,26.5,25.32,106,,,,,,,,,,,,,
7.5,7,6.33,27,25.32,108,,,,,,,,,,,,,
4.5,7.5,-23,2.6,-92,10.4,,,,,,,,,,,,,
4.5,7.5,-22.5,2.5,-90,10,,,,,,,,,,,,,
4.5,7.5,-23,2.3,-92,9.2,,,,,,,,,,,,,
5,7.5,-21.25,3.75,-85,15,,,,,,,,,,,,,
5,7.5,-20.75,3.5,-83,14,,,,,,,,,,,,,
5,7.5,-21.3,3.7,-85.2,14.8,,,,,,,,,,,,,
5.5,7.5,-13.66,8.8,-54.64,35.2,,,,,,,,,,,,,
5.5,7.5,-13.66,8.8,-54.64,35.2,,,,,,,,,,,,,
5.5,7.5,-13.66,8.9,-54.64,35.6,,,,,,,,,,,,,
6,7.5,-10.5,12.5,-42,50,,,,,,,,,,,,,
6,7.5,-10,12,-40,48,,,,,,,,,,,,,
6,7.5,-10.33,12.5,-41.32,50,,,,,,,,,,,,,
6.5,7.5,-3.2,23,-12.8,92,,,,,,,,,,,,,
6.5,7.5,-3,22.75,-12,91,,,,,,,,,,,,,
6.5,7.5,-2.8,22.1,-11.2,88.4,,,,,,,,,,,,,
7,7.5,0,32.4,0,129.6,,,,,,,,,,,,,
7,7.5,0.3,33,1.2,132,,,,,,,,,,,,,
7,7.5,0.25,33.75,1,135,,,,,,,,,,,,,
7.5,7.5,0,32.5,0,130,,,,,,,,,,,,,
7.5,7.5,0,33.75,0,135,,,,,,,,,,,,,
7.5,7.5,0.2,33.7,0.8,134.8,,,,,,,,,,,,,
